H	1.008
He	4.0026
Li	6.94
Be	9.0122
B	10.81
C	12.011
N	14.007
O	15.999
F	18.998
Ne	20.180
Na	22.990
Mg	24.305
Al	26.982
Si	28.085
P	30.974
S	32.06
Cl	35.45
Ar	39.948
K	39.098
Ca	40.078
Sc	44.956
Ti	47.867
V	50.9415
Cr	51.996
Mn	54.93804
Fe	55.84
Co	58.93319
Ni	58.693
Cu	63.55
Zn	65.4
Ga	69.723
Ge	72.63
As	74.92159
Se	78.97
Br	79.9
Kr	83.8
Rb	85.468
Sr	87.62
Y	88.90584
Zr	91.22
Nb	92.90637
Mo	95.95
Tc	96.90636
Ru	101.1
Rh	102.9055
Pd	106.42
Ag	107.868
Cd	112.41
In	114.818
Sn	118.71
Sb	121.76
Te	127.6
I	126.9045
Xe	131.29
Cs	132.9054520
Ba	137.33
La	138.9055
Ce	140.116
Pr	140.90766
Nd	144.24
Pm	144.91276
Sm	150.4
Eu	151.964
Gd	157.2
Tb	158.92535
Dy	162.5
Ho	164.93033
Er	167.26
Tm	168.93422
Yb	173.05
Lu	174.9668
Hf	178.49
Ta	180.9479
W	183.84
Re	186.207
Os	190.2
Ir	192.22
Pt	195.08
Au	196.96657
Hg	200.59
Tl	204.383
Pb	207
Bi	208.9804
Po	208.98243
At	209.98715
Rn	222.01758
Fr	223.01973
Ra	226.02541
Ac	227.02775
Th	232.038
Pa	231.03588
U	238.0289
Np	237.048172
Pu	244.0642
Am	243.061380
Cm	247.07035
Bk	247.07031
Cf	251.07959
Es	252.083
Fm	257.09511
